d,sigma,theta,NLL
0.0035,0.06,0.35,0
0.005,0.06,0.35,4.2776e-41
0.0065,0.06,0.35,0
0.008,0.06,0.35,0
0.0035,0.065,0.35,0
0.005,0.065,0.35,2.39534e-17
0.0065,0.065,0.35,2.9826e-26
0.008,0.065,0.35,0
0.0035,0.07,0.35,2.55197e-33
0.005,0.07,0.35,1.74821e-08
0.0065,0.07,0.35,2.48831e-16
0.008,0.07,0.35,0
0.0035,0.075,0.35,1.45456e-33
0.005,0.075,0.35,1.48798e-10
0.0065,0.075,0.35,1.79046e-17
0.008,0.075,0.35,0
0.0035,0.06,0.5,0
0.005,0.06,0.5,1.01163e-33
0.0065,0.06,0.5,1.65223e-34
0.008,0.06,0.5,0
0.0035,0.065,0.5,4.02173e-43
0.005,0.065,0.5,1.90133e-10
0.0065,0.065,0.5,2.8709e-10
0.008,0.065,0.5,1.09396e-38
0.0035,0.07,0.5,9.02412e-33
0.005,0.07,0.5,0.0493933
0.0065,0.07,0.5,0.923963
0.008,0.07,0.5,1.2164e-25
0.0035,0.075,0.5,2.66535e-33
0.005,0.075,0.5,0.000185437
0.0065,0.075,0.5,0.0264585
0.008,0.075,0.5,3.89849e-24
0.0035,0.06,0.65,0
0.005,0.06,0.65,0
0.0065,0.06,0.65,0
0.008,0.06,0.65,0
0.0035,0.065,0.65,0
0.005,0.065,0.65,2.54119e-21
0.0065,0.065,0.65,3.68099e-24
0.008,0.065,0.65,0
0.0035,0.07,0.65,4.02862e-40
0.005,0.07,0.65,1.81918e-11
0.0065,0.07,0.65,5.9124e-12
0.008,0.07,0.65,4.26492e-38
0.0035,0.075,0.65,3.94466e-40
0.005,0.075,0.65,1.13037e-12
0.0065,0.075,0.65,2.79174e-11
0.008,0.075,0.65,3.70459e-33
0.0035,0.06,0.8,0
0.005,0.06,0.8,0
0.0065,0.06,0.8,0
0.008,0.06,0.8,0
0.0035,0.065,0.8,0
0.005,0.065,0.8,0
0.0065,0.065,0.8,0
0.008,0.065,0.8,0
0.0035,0.07,0.8,0
0.005,0.07,0.8,4.11823e-36
0.0065,0.07,0.8,0
0.008,0.07,0.8,0
0.0035,0.075,0.8,0
0.005,0.075,0.8,1.12783e-34
0.0065,0.075,0.8,6.65617e-43
0.008,0.075,0.8,0
