trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
0,-1,1490,3,0,0,220
0,-1,1490,3,0,1,180
0,-1,1490,3,0,0,60
0,-1,1490,3,0,2,420
0,-1,1490,3,0,0,70
0,-1,1490,3,0,1,540
1,-1,2200,3,3,0,180
1,-1,2200,3,3,1,300
1,-1,2200,3,3,0,110
1,-1,2200,3,3,2,410
1,-1,2200,3,3,0,80
1,-1,2200,3,3,1,1120
2,1,1150,3,4,0,280
2,1,1150,3,4,1,550
2,1,1150,3,4,0,80
2,1,1150,3,4,2,240
3,1,1500,3,2,0,220
3,1,1500,3,2,1,130
3,1,1500,3,2,0,80
3,1,1500,3,2,2,1070
4,-1,500,3,1,0,240
4,-1,500,3,1,1,160
4,-1,500,3,1,0,80
4,-1,500,3,1,2,20
5,-1,1090,3,3,0,170
5,-1,1090,3,3,2,190
5,-1,1090,3,3,0,80
5,-1,1090,3,3,1,650
6,-1,3160,3,2,0,230
6,-1,3160,3,2,1,750
6,-1,3160,3,2,0,80
6,-1,3160,3,2,2,620
6,-1,3160,3,2,0,60
6,-1,3160,3,2,1,570
6,-1,3160,3,2,0,60
6,-1,3160,3,2,2,790
7,-1,1350,3,1,0,290
7,-1,1350,3,1,1,360
7,-1,1350,3,1,0,100
7,-1,1350,3,1,2,350
7,-1,1350,3,1,0,70
7,-1,1350,3,1,1,180
8,1,2070,3,3,0,210
8,1,2070,3,3,2,430
8,1,2070,3,3,0,70
8,1,2070,3,3,1,610
8,1,2070,3,3,0,80
8,1,2070,3,3,2,670
9,-1,1440,3,0,0,430
9,-1,1440,3,0,1,580
9,-1,1440,3,0,0,60
9,-1,1440,3,0,2,370
10,-1,1470,3,0,0,230
10,-1,1470,3,0,1,360
10,-1,1470,3,0,0,70
10,-1,1470,3,0,2,460
10,-1,1470,3,0,0,70
10,-1,1470,3,0,1,280
11,-1,520,3,3,0,220
11,-1,520,3,3,1,300
12,1,1330,3,3,0,280
12,1,1330,3,3,2,420
12,1,1330,3,3,0,630
13,-1,1880,3,0,0,190
13,-1,1880,3,0,1,190
13,-1,1880,3,0,0,90
13,-1,1880,3,0,2,380
13,-1,1880,3,0,0,740
13,-1,1880,3,0,1,290
14,1,670,3,3,0,250
14,1,670,3,3,2,360
14,1,670,3,3,0,60
15,-1,1500,3,4,0,220
15,-1,1500,3,4,2,190
15,-1,1500,3,4,0,70
15,-1,1500,3,4,1,1020
16,1,1110,3,4,0,230
16,1,1110,3,4,1,230
16,1,1110,3,4,0,70
16,1,1110,3,4,2,580
17,-1,600,3,2,0,300
17,-1,600,3,2,1,300
18,1,800,3,6,0,230
18,1,800,3,6,2,80
18,1,800,3,6,0,80
18,1,800,3,6,1,320
18,1,800,3,6,0,50
18,1,800,3,6,2,40
19,-1,880,3,0,0,270
19,-1,880,3,0,2,370
19,-1,880,3,0,0,50
19,-1,880,3,0,1,190
20,1,990,3,5,0,530
20,1,990,3,5,2,160
20,1,990,3,5,0,60
20,1,990,3,5,1,240
21,1,1810,3,4,0,180
21,1,1810,3,4,2,270
21,1,1810,3,4,0,80
21,1,1810,3,4,1,850
21,1,1810,3,4,0,80
21,1,1810,3,4,2,350
22,-1,2450,3,2,0,190
22,-1,2450,3,2,1,210
22,-1,2450,3,2,0,80
22,-1,2450,3,2,2,990
22,-1,2450,3,2,0,80
22,-1,2450,3,2,1,900
23,-1,930,3,1,0,240
23,-1,930,3,1,1,190
23,-1,930,3,1,0,90
23,-1,930,3,1,2,250
23,-1,930,3,1,0,80
23,-1,930,3,1,1,80
24,-1,1500,3,0,0,90
24,-1,1500,3,0,1,590
24,-1,1500,3,0,0,80
24,-1,1500,3,0,2,450
24,-1,1500,3,0,0,140
24,-1,1500,3,0,1,150
25,1,1160,3,3,0,50
25,1,1160,3,3,1,320
25,1,1160,3,3,0,230
25,1,1160,3,3,2,560
26,1,2060,3,3,0,280
26,1,2060,3,3,1,140
26,1,2060,3,3,0,60
26,1,2060,3,3,2,910
26,1,2060,3,3,0,60
26,1,2060,3,3,1,480
26,1,2060,3,3,0,60
26,1,2060,3,3,2,70
27,1,4430,3,4,0,510
27,1,4430,3,4,2,180
27,1,4430,3,4,0,70
27,1,4430,3,4,1,330
27,1,4430,3,4,0,210
27,1,4430,3,4,2,370
27,1,4430,3,4,0,60
27,1,4430,3,4,1,620
27,1,4430,3,4,0,80
27,1,4430,3,4,2,370
27,1,4430,3,4,0,90
27,1,4430,3,4,1,460
27,1,4430,3,4,0,80
27,1,4430,3,4,2,1000
28,1,360,3,5,0,240
28,1,360,3,5,2,120
29,1,1260,3,3,0,340
29,1,1260,3,3,1,450
29,1,1260,3,3,0,280
29,1,1260,3,3,2,190
30,1,1000,3,4,0,250
30,1,1000,3,4,2,180
30,1,1000,3,4,0,90
30,1,1000,3,4,1,290
30,1,1000,3,4,0,80
30,1,1000,3,4,2,110
31,-1,730,3,5,0,250
31,-1,730,3,5,1,480
32,-1,240,3,1,0,240
33,1,1100,3,6,0,210
33,1,1100,3,6,1,300
33,1,1100,3,6,0,80
33,1,1100,3,6,2,430
33,1,1100,3,6,0,80
34,-1,2030,3,2,0,330
34,-1,2030,3,2,1,230
34,-1,2030,3,2,0,220
34,-1,2030,3,2,2,500
34,-1,2030,3,2,0,80
34,-1,2030,3,2,1,630
34,-1,2030,3,2,0,40
35,-1,1060,3,0,0,240
35,-1,1060,3,0,1,210
35,-1,1060,3,0,0,90
35,-1,1060,3,0,2,520
36,1,540,3,6,0,160
36,1,540,3,6,2,280
36,1,540,3,6,0,70
36,1,540,3,6,1,30
37,1,460,3,6,0,290
37,1,460,3,6,2,170
38,-1,1880,3,3,0,190
38,-1,1880,3,3,1,210
38,-1,1880,3,3,0,190
38,-1,1880,3,3,2,310
38,-1,1880,3,3,0,70
38,-1,1880,3,3,1,910
39,1,760,3,6,0,270
39,1,760,3,6,1,380
39,1,760,3,6,0,70
39,1,760,3,6,2,40
40,-1,660,3,1,0,240
40,-1,660,3,1,1,190
40,-1,660,3,1,0,70
40,-1,660,3,1,2,160
