choice,RT,p
1,470,0.0135037
-1,2920,0.001136
-1,1050,0.0049409
-1,1500,0.0036265
1,490,0.00314914
1,810,0.00105032
-1,1370,0.00391
1,750,0.00880194
1,3290,0.00101724
1,2120,0.00163521
1,1420,0.00748585
1,1040,0.0101454
1,1240,0.00831907
1,1230,0.00126491
-1,1780,0.00221062
1,1180,0.00269585
-1,1110,0.00819411
-1,670,0.00637621
-1,1370,0.00173232
-1,340,0.00266053
-1,1500,0.00501539
-1,7080,6.74556e-05
-1,730,0.00401228
1,2040,0.00247093
-1,1300,0.00652194
-1,3660,0.000130223
1,2150,0.00350458
-1,1290,0.00389523
1,310,0.00396974
-1,330,0.00200435
-1,730,0.00214203
-1,430,0.0086233
-1,810,0.00477382
1,390,0.00955082
1,760,0.00332189
-1,620,0.0122943
-1,2370,0.0021407
1,690,0.00894094
-1,1770,0.00309691
1,1070,0.0113119
1,1930,0.00169394
-1,1260,0.00372566
-1,1580,0.00216926
-1,1450,0.00395541
1,2270,0.00160041
1,1110,0.0097241
1,1940,0.000806934
-1,350,0.00359687
-1,3630,0.000988722
-1,1310,0.0044747
1,1430,0.0015951
1,570,0.00940975
-1,3530,0.000464237
1,1750,0.000611355
1,1890,0.00300658
1,470,0.000491653
-1,1590,0.00509912
1,1790,0.000442155
1,5180,0.000325919
1,1930,0.00147366
1,5670,0.000189937
-1,2020,0.00099511
-1,1340,0.0030914
1,890,0.014387
-1,1170,0.00310944
-1,3160,0.000400045
1,1550,0.00115198
1,1610,0.00675924
-1,2600,0.00125166
-1,1880,0.00401071
1,1090,0.0121983
-1,1490,0.00440012
-1,3430,0.000237274
1,1690,0.000999115
1,2170,6.56602e-05
-1,920,0.00846119
1,890,0.0110428
-1,2160,0.00084544
-1,380,0.00519629
1,1180,0.0117923
1,810,0.00279445
1,510,0.000823598
-1,770,0.00490763
-1,1480,0.00277426
-1,2540,0.000923655
-1,2140,0.00128136
1,1870,0.0052857
-1,2270,0.0021765
-1,2420,0.00152143
1,710,0.00501775
1,1180,0.0116001
-1,2610,0.00183061
1,3170,0.000343104
-1,2400,0.00244841
1,420,0.00124538
-1,460,0.00258906
-1,1080,0.00290892
-1,1110,0.00597277
-1,730,0.0114694
1,820,0.00135493
1,2640,0.000807465
-1,980,0.0080908
-1,2800,0.00162945
1,1570,0.00536707
1,460,0.0115445
-1,690,0.00256556
1,3530,0.000415011
-1,2170,0.00259162
-1,1360,0.00232186
-1,1700,0.0042118
1,2240,0.00359054
1,1880,0.00447369
-1,3160,0.000379889
1,2030,0.00306792
1,11900,1.10362e-06
1,390,0.0126315
-1,1590,0.0028825
1,1920,0.00136225
1,2330,7.78362e-05
-1,2250,0.00231044
-1,1520,0.00391782
1,390,0.00333836
-1,1570,0.00472968
-1,1390,0.0055225
1,1090,0.00199976
1,1170,0.00229557
-1,1410,0.00577107
1,1810,0.000366135
1,510,0.00713042
1,1710,0.000828842
1,1410,0.00751336
1,250,0.000585526
-1,2060,0.000997456
1,1120,0.0117368
-1,960,0.00185473
1,1090,0.00339321
-1,2820,0.000404849
1,610,0.00602533
1,1020,0.00324089
-1,960,0.00919294
1,860,0.00358277
1,3230,0.000209247
1,1070,0.00747666
-1,1410,0.0062046
1,1280,0.00589138
1,2540,0.000647534
-1,2430,0.00158945
-1,420,0.00376767
-1,470,0.00433055
1,1730,0.00350552
1,3530,0.000118396
-1,730,0.00622823
-1,1250,0.00218148
1,1620,0.00605131
1,1890,0.00440705
1,1040,0.0127069
1,740,0.0009959
-1,1750,0.00424118
1,510,0.00478217
-1,660,0.00414629
1,820,0.0109427
1,4480,0.000142734
1,2140,0.0026623
-1,3170,0.0010165
-1,510,0.0055506
1,840,0.00502513
-1,510,0.0059587
-1,1240,0.00157249
-1,6300,2.99934e-05
-1,3470,9.3633e-05
-1,1100,0.00477738
1,850,0.0143455
-1,2590,0.00133022
-1,1850,0.00290004
-1,1240,0.00456626
-1,9210,1.29733e-06
-1,1020,0.00896883
-1,850,0.0043115
-1,610,0.000819638
-1,910,0.00463362
1,580,0.00494609
1,1630,0.00881921
1,740,0.00885483
1,430,0.00383286
1,1560,0.000172153
1,990,0.00988281
1,1500,0.0051651
1,1050,0.00887731
-1,2020,0.00103409
-1,1970,0.00221001
1,680,0.00877413
1,1340,0.00864942
-1,480,0.00751972
-1,490,0.00389688
-1,1510,0.00552909
1,980,0.00688336
-1,280,0.00235419
-1,840,0.0046425
1,330,0.00367213
-1,360,0.00435019
1,1650,0.00643008
-1,1520,0.00311206
-1,1010,0.00209349
-1,1180,0.00493492
-1,2110,0.00276926
1,3820,0.000235865
-1,940,0.0097379
-1,1430,0.00283204
1,2070,0.00190665
1,1120,0.00533195
-1,2760,0.000217649
1,2020,0.000270399
1,2660,0.00240044
1,440,0.00807458
1,790,0.00758568
1,670,0.000694705
1,5790,0.00021624
1,990,0.00970785
1,1390,0.00738414
-1,2150,0.0020681
1,2890,0.00141167
1,580,0.00753772
-1,910,0.00355641
-1,2110,0.00112485
-1,1730,0.00339532
-1,3700,0.000427591
-1,560,0.00510977
1,1570,0.00375076
-1,1370,0.00609911
1,450,0.00215327
-1,1070,0.00232957
-1,1840,0.000782417
-1,1340,0.00286853
-1,2730,0.00173229
1,850,0.0146858
1,1230,0.00609064
1,3130,0.00173698
1,1730,0.00464687
1,1330,0.00624999
-1,3030,0.00128385
-1,2060,0.00117804
-1,3490,0.000704808
-1,580,0.00496094
1,470,0.0115252
1,400,0.00471617
1,2360,0.000809166
-1,540,0.00154002
-1,1940,0.000921085
-1,3050,0.000509034
1,1600,0.00247536
1,470,0.0050675
1,3030,0.00197889
1,710,0.00192504
1,860,0.0110195
1,650,0.0020141
-1,1130,0.000516604
1,280,0.000441002
-1,4990,2.65301e-05
-1,3120,0.000508386
1,1230,0.00865626
-1,1810,0.00223062
-1,2080,0.00308822
1,760,0.00789131
-1,1140,0.00329166
-1,2070,0.00310765
1,970,0.0113396
1,1190,0.0010434
1,980,0.00652242
-1,960,0.00808566
-1,2280,0.00122733
-1,1160,0.00277741
-1,2490,0.0016188
-1,510,0.0105179
-1,1690,0.00358444
-1,520,0.00907485
1,630,0.00524764
-1,2340,0.000167879
1,1540,0.00798132
1,3130,0.0013217
-1,1840,0.00386883
1,860,0.00905498
1,5630,0.000149053
1,3280,0.00149924
1,1330,0.00300345
-1,620,0.00478381
-1,930,0.00995571
-1,770,0.0068569
1,1460,0.00612418
-1,1170,0.00406548
-1,530,0.003027
-1,680,0.00975511
-1,3020,0.00153261
1,2370,0.00420311
-1,1050,0.00493813
-1,2750,0.000597037
-1,1240,0.00231192
-1,750,0.0105245
-1,1310,0.00683433
-1,1570,0.00411677
1,800,0.014264
1,380,0.00474429
-1,3590,0.000657359
1,1190,0.00723593
1,780,0.0146791
-1,1250,0.00429571
-1,1510,0.00452029
1,3150,0.000777207
1,570,0.00397338
-1,1260,0.00410227
-1,310,0.00241569
-1,590,0.00547653
-1,3240,0.000427081
-1,480,0.00354675
-1,1510,0.00218506
1,1320,0.00660124
-1,900,0.00572951
-1,1660,0.000449714
1,890,0.00200509
1,4560,0.000212547
1,2090,0.00464394
-1,1650,0.00471787
-1,1720,0.00298315
-1,2080,0.00125749
1,680,0.000967177
1,2770,0.00140701
1,1270,0.00489466
1,1380,0.0033756
-1,590,0.0108563
-1,1240,0.00601161
-1,490,0.00369205
-1,1080,0.00431684
-1,2890,0.000418559
1,370,0.00141039
-1,1720,0.00154337
1,610,0.00687806
-1,1870,0.00252684
-1,2780,0.00154385
1,2900,0.00187431
1,2030,0.00252984
-1,730,0.00645779
1,520,0.00232295
1,550,0.0131656
1,350,0.00257954
-1,1820,0.00403283
1,810,0.00552082
-1,2980,0.00112315
-1,1580,0.00528887
1,820,0.00171953
1,950,0.0108425
1,590,0.0025842
-1,930,0.009283
1,790,0.009639
-1,1550,0.0023327
-1,920,0.00593247
-1,430,0.00636787
-1,1580,0.00277068
-1,960,0.0097396
-1,2450,0.000806675
-1,2350,0.0015885
-1,1690,0.00192553
1,940,0.0112358
1,1260,0.00382878
1,740,0.0150968
-1,370,0.00267804
1,1160,0.00739508
1,1670,0.00532178
1,1340,0.000276442
-1,670,0.00727284
1,2020,0.000911487
1,1010,0.00275196
1,1030,0.00339604
-1,1440,0.00134962
-1,1770,0.00275249
1,2370,0.0028057
1,400,0.00976322
1,970,0.00331044
1,320,0.0010884
-1,1370,0.00376841
1,3160,0.000229809
1,4510,0.000329826
1,2210,0.00110824
-1,1750,0.00328336
-1,450,0.00208249
1,1270,0.00391283
-1,1990,0.00234916
-1,1740,0.00339398
1,430,0.0155793
-1,1030,0.00653307
1,500,0.00152128
-1,830,0.00153483
-1,1870,0.00293919
-1,1290,0.00307405
1,480,0.00948507
-1,530,0.00342143
1,1000,0.000831352
1,790,0.011976
-1,710,0.0047481
1,750,0.00349314
-1,2010,0.00141547
1,870,0.0134056
-1,1100,0.00070087
-1,740,0.00296998
-1,360,0.00220076
1,670,0.00155157
1,1790,0.00336795
-1,1060,0.00355034
-1,1430,0.00472463
-1,890,0.00920796
1,1980,0.0028141
-1,1360,0.00482949
-1,1240,0.00324522
-1,1580,0.00260761
1,1830,0.00306598
-1,860,0.00789553
1,1750,0.00258637
-1,1900,0.00176413
-1,750,0.00666174
1,1990,0.00162903
-1,1680,0.00139047
1,1210,0.00210439
-1,870,0.00850784
-1,520,0.00153577
-1,640,0.00435485
-1,2300,0.00145251
-1,2090,0.00303656
-1,1760,0.00249214
-1,950,0.00285923
1,3380,0.000415415
1,1060,0.00888857
-1,400,0.00426147
-1,1070,0.00360136
1,730,0.00354289
1,740,0.00792765
-1,2110,0.00160988
-1,1320,0.00592161
1,1030,0.0122915
-1,570,0.00940974
1,1110,0.00329074
-1,1330,0.00445646
1,920,0.0141137
-1,2310,0.000738258
-1,5240,0.000182049
1,490,0.00720967
-1,1680,0.00226341
1,1740,0.00284083
-1,740,0.0115507
-1,1380,0.00227925
-1,1030,0.00118919
1,700,0.0049272
1,3820,0.000264316
-1,5260,0.000264266
-1,1010,0.00239563
-1,1670,0.00347066
1,280,0.000802542
-1,4630,0.000366736
1,1570,0.0010352
-1,1210,0.000515342
1,3210,0.00149743
-1,2670,0.00164559
-1,1390,0.00443228
1,1130,0.0121279
-1,640,0.00165186
-1,1580,0.00249848
1,2430,0.000327424
-1,1400,0.00566846
1,910,0.00272649
-1,690,0.0117792
-1,2130,0.00282345
-1,820,0.00893464
-1,1220,0.000402212
1,690,0.00952352
-1,690,0.00459509
1,1410,0.00185365
-1,560,0.00718057
1,540,0.00858546
-1,2220,0.000836946
1,360,0.00451868
1,590,0.0043877
-1,2060,0.00133568
-1,920,0.00596118
-1,640,0.00840415
-1,2430,0.00166259
-1,1350,0.00568812
-1,500,0.00721801
-1,510,0.011072
1,460,0.0123782
1,560,0.0044519
-1,990,0.000659563
-1,1240,0.00191895
-1,1510,0.00165935
-1,980,0.00582842
-1,2290,0.00217847
-1,1270,0.00403188
1,2640,0.00250184
-1,1150,0.00438384
-1,930,0.00752254
1,2940,0.000879857
1,2000,0.00291741
1,550,0.0185999
-1,650,0.00956097
1,1140,0.00987984
1,1530,0.00161917
-1,1240,0.00792875
-1,700,0.00720921
1,910,0.00217969
1,680,0.00148139
1,1000,0.00359335
1,1440,0.00353269
-1,2660,0.00132805
-1,910,0.00338492
-1,570,0.00659949
1,1700,0.00527921
-1,830,0.00569829
-1,1820,0.00283967
1,510,0.001215
-1,1180,0.00524287
-1,1770,0.00325505
-1,530,0.00915527
-1,2340,0.00118416
1,450,0.0101707
1,2590,0.00199253
1,2650,0.00236031
1,690,0.00633637
1,4370,0.000652068
1,4560,1.11783e-05
-1,2920,0.000931579
-1,1070,0.00244501
1,970,0.0129239
-1,630,0.00407804
-1,3110,0.00141168
-1,1140,0.00178711
1,1810,0.000658995
1,1650,0.00496618
1,3560,2.15109e-05
1,560,0.000955706
1,1920,0.001535
-1,490,0.00472593
1,750,0.0147569
-1,1070,0.00563665
-1,1190,0.00484232
-1,540,0.00633652
1,880,0.0133193
1,920,0.0029994
1,1950,0.00406779
1,1010,0.00252374
-1,1110,0.000345219
-1,2430,0.00232664
-1,410,0.000765012
-1,2560,0.00126895
1,3620,0.000139148
1,6280,1.18514e-05
-1,940,0.0021699
-1,770,0.00555344
-1,2120,0.000173276
1,1660,0.00194901
-1,1100,0.00329336
1,2680,0.00169162
-1,1650,0.00211467
1,870,0.0123982
-1,1860,0.00119316
1,930,0.00436072
1,760,0.00926129
-1,1430,0.00215278
-1,880,0.00699378
1,1120,0.00526126
1,520,0.00106251
-1,460,0.00361756
-1,1220,0.00393746
1,550,0.00210201
1,4880,0.00035998
-1,1120,0.00636609
1,1060,0.0021478
1,500,0.00197896
-1,2070,0.00021516
1,550,0.00894734
-1,1340,0.0061865
-1,1600,0.00453518
-1,540,0.00175732
-1,4000,0.000379761
1,1520,0.00366296
-1,1830,0.00236509
1,700,0.00710134
1,420,0.0141969
1,2210,0.00199614
-1,2490,0.001231
1,770,0.00777821
-1,2010,0.00351263
-1,920,0.00615072
-1,1380,0.00518321
-1,3630,0.00014993
1,980,0.00134973
1,1180,0.00909528
1,4140,0.000405241
1,1050,0.00725089
-1,2450,0.00104413
1,1280,0.000162049
-1,1390,0.00290983
1,5480,2.34041e-05
-1,1160,0.0045985
-1,1240,0.00420206
1,3540,0.000255498
-1,1530,0.00222926
-1,3050,0.000124934
1,2710,0.00292526
-1,750,0.00819032
-1,1330,0.0032274
-1,390,0.00457151
1,600,0.0182756
-1,770,0.00697114
1,500,0.017731
1,360,0.00065882
-1,2000,0.00146993
1,510,0.003136
1,880,0.00189609
1,1940,0.00352601
-1,1470,0.00501304
-1,2090,0.000179198
1,470,0.000613349
1,2300,0.00298109
1,390,0.000625504
-1,4260,0.000523244
-1,1300,0.00220325
-1,1080,0.00411257
1,830,0.00553096
1,1010,0.012451
1,1190,0.00788703
-1,1290,0.00367986
-1,470,0.00188186
-1,1330,0.00574147
-1,1100,0.00771502
1,1490,0.00583867
1,1160,0.00168461
1,1500,0.00342769
1,650,0.00117299
-1,950,0.00371133
1,1840,0.00138725
-1,3100,0.00139178
-1,490,0.000327345
-1,820,0.0094469
1,3090,0.00142811
-1,2940,0.00146548
1,4000,0.000208418
-1,1820,0.00199908
-1,440,0.0031416
-1,1820,0.00057894
-1,1940,0.00104338
1,730,0.00270071
1,810,0.00364855
-1,1500,0.00303571
-1,1730,0.00225851
1,1760,0.00386025
-1,920,0.00832609
-1,1610,0.000415114
1,1020,0.00886212
1,900,0.0138434
-1,1030,0.00308399
1,780,0.0104811
-1,950,0.00600882
1,1050,0.0073412
1,1670,0.00602348
-1,1350,0.00611591
1,1620,0.00353476
1,1070,0.00211031
-1,990,0.00221975
-1,890,0.0046552
1,1630,0.0013138
-1,830,0.00931208
-1,1410,0.00332318
1,2110,0.00347827
1,470,0.000316171
-1,1230,0.00337747
1,3010,0.000182767
-1,2080,0.00221902
1,570,0.00676767
-1,460,0.00244213
-1,620,0.00499198
1,790,0.015103
1,1150,0.0116395
-1,780,0.00869892
1,730,0.00716402
1,1030,0.0101763
-1,2280,0.00196661
