choice,RT,p,valLeft,valRight
1,130,4.09437e-07,5,2
-1,120,2.08085e-06,0,1
-1,190,4.55083e-06,0,3
-1,150,3.25639e-07,0,4
-1,320,8.95029e-05,2,4
1,160,4.8388e-07,4,0
-1,170,6.76386e-07,1,5
-1,50,9.44463e-12,3,0
1,160,6.32799e-06,5,3
1,210,2.58774e-05,3,1
1,160,4.8388e-07,4,0
1,60,8.3523e-11,4,4
-1,460,0.00013829,1,3
-1,220,0.000878828,1,0
1,200,2.095e-05,3,1
1,140,2.49546e-06,4,2
-1,300,0.000877626,5,5
1,430,0.000525466,5,4
1,270,6.07219e-05,5,3
1,260,1.37966e-05,4,1
1,80,3.61227e-10,4,0
-1,60,2.34358e-10,1,0
-1,180,8.99459e-07,0,4
1,510,0.000610394,5,4
-1,510,0.00200178,1,1
-1,160,1.81726e-06,0,3
1,450,0.00178003,2,2
-1,170,2.58666e-06,1,4
-1,410,0.000126765,2,4
-1,100,2.84747e-08,1,4
1,140,7.92979e-06,3,2
1,100,9.15251e-08,4,2
-1,110,2.75059e-07,1,3
1,400,0.000123705,5,3
-1,100,8.26174e-07,5,5
1,220,3.11835e-05,5,3
-1,50,4.56803e-13,4,4
-1,880,0.000634957,3,4
-1,90,2.25946e-08,2,4
-1,160,6.32798e-06,3,5
1,360,0.000409932,4,3
-1,170,9.12494e-06,1,3
1,80,1.16803e-09,3,0
-1,100,9.15249e-08,1,3
1,440,0.000538717,1,0
1,160,6.32799e-06,4,2
1,140,2.36059e-05,0,0
1,470,0.00478533,3,4
-1,90,2.25946e-08,2,4
-1,230,2.26533e-06,0,4
1,170,8.91602e-05,5,5
-1,160,6.11742e-05,4,4
-1,160,6.11742e-05,3,3
1,420,0.000129564,3,1
-1,140,2.36059e-05,2,2
-1,100,2.81236e-07,3,4
1,250,4.85987e-05,3,1
1,250,2.8136e-06,5,1
1,110,2.7506e-07,2,0
1,190,1.14779e-06,4,0
-1,230,3.67906e-05,0,2
1,130,4.09437e-07,3,0
1,150,0.000109855,1,2
1,40,3.76897e-19,5,0
1,90,2.25947e-08,4,2
-1,420,0.00426473,1,0
-1,120,6.65637e-07,2,4
-1,730,1.84741e-05,2,5
-1,580,0.0021727,4,4
1,90,6.87945e-08,4,3
1,50,6.07991e-15,4,0
-1,100,9.15249e-08,3,5
1,120,5.77232e-08,4,0
