choice,RT,p
1,420,0
1,1390,0
1,430,0
-1,400,0
-1,2100,0
1,890,0
1,540,0
-1,770,0
-1,1220,0
1,400,0
1,180,0
-1,540,0
-1,640,0
1,210,0
-1,1570,0
1,1300,0
-1,790,0
1,1970,0
-1,1540,0
-1,700,0
-1,520,0
-1,1250,0
-1,1190,0
-1,1110,0
-1,340,0
-1,980,0
-1,1770,0
-1,1180,0
1,170,0
1,740,0
1,1710,0
-1,940,0
-1,1840,0
1,680,0
1,1680,0
-1,2010,0
1,2540,0
-1,420,0
-1,840,0
1,4430,0
1,480,0
-1,880,0
-1,1490,0
1,580,0
-1,450,0
1,350,0
1,810,0
-1,220,0
-1,2670,0
1,220,0
-1,1850,0
1,200,0
-1,1150,0
1,2660,0
1,5810,0
-1,620,0
1,870,0
1,820,0
1,650,0
1,530,0
-1,1080,0
-1,3280,0
1,1230,0
-1,1240,0
1,530,0
-1,1050,0
1,2220,0
1,520,0
1,1650,0
1,1130,0
-1,1590,0
-1,620,0
-1,810,0
1,690,0
1,1840,0
-1,890,0
-1,2540,0
-1,4190,0
-1,440,0
1,560,0
-1,1040,0
-1,1340,0
1,1770,0
1,1390,0
1,540,0
1,530,0
-1,410,0
