d,sigma,p
0.004,0.05,-0.12,6161.42
0.005,0.05,-0.12,6096.66
0.006,0.05,-0.12,6162.47
0.004,0.07,-0.12,5804.43
0.005,0.07,-0.12,5781.12
0.006,0.07,-0.12,5826.43
0.004,0.09,-0.12,5898.47
0.005,0.09,-0.12,5879.3
0.006,0.09,-0.12,5901.35
0.004,0.05,0,6128.74
0.005,0.05,0,6061.45
0.006,0.05,0,6124.8
0.004,0.07,0,5784.84
0.005,0.07,0,5760.39
0.006,0.07,0,5804.56
0.004,0.09,0,5883.94
0.005,0.09,0,5864.09
0.006,0.09,0,5885.47
0.004,0.05,0.12,6162.02
0.005,0.05,0.12,6092.62
0.006,0.05,0.12,6153.76
0.004,0.07,0.12,5803.02
0.005,0.07,0.12,5777.41
0.006,0.07,0.12,5820.41
0.004,0.09,0.12,5897.11
0.005,0.09,0.12,5876.56
0.006,0.09,0.12,5897.23
