choice,RT,valDiff
1,1670,-2
-1,510,3
-1,450,2
1,1980,0
1,790,-3
-1,2450,1
-1,1130,-1
1,2810,-2
-1,670,2
-1,380,1
1,2600,-1
1,730,-2
1,2850,0
-1,2020,1
1,4150,0
1,1490,-2
-1,1160,1
1,2450,-2
1,510,0
1,1660,0
-1,1240,0
1,480,-3
1,3240,-1
1,900,-2
-1,600,3
-1,1190,2
-1,1230,3
-1,710,3
-1,1020,2
-1,1990,1
1,1820,0
1,1170,1
1,620,-3
1,450,-3
1,1220,-2
-1,750,1
-1,520,2
1,700,-2
1,910,-2
-1,2470,1
1,560,-3
-1,1110,1
-1,780,2
1,770,-3
-1,510,3
1,630,-2
-1,600,3
-1,970,2
1,900,-2
1,900,0
1,230,-3
-1,960,2
1,770,-1
1,1020,0
-1,1530,0
1,1070,-3
1,880,1
-1,690,3
1,340,-3
-1,3140,2
1,670,-1
-1,1410,1
1,470,-2
-1,1260,2
1,1080,-2
1,2160,-1
-1,620,3
1,450,-3
-1,3810,0
1,1400,-2
1,1060,-1
-1,700,3
-1,200,3
-1,740,3
-1,680,3
1,420,-2
1,350,-3
-1,670,3
-1,330,3
-1,4800,1
-1,800,3
-1,380,3
1,890,-3
-1,930,1
-1,2700,1
-1,820,2
1,390,-2
1,240,-2
-1,3530,0
1,710,-2
-1,1480,1
-1,1440,2
-1,2590,0
1,730,-3
-1,2960,0
-1,360,3
-1,590,3
-1,1380,2
-1,1360,2
-1,1790,2
-1,570,3
1,6420,-1
-1,290,2
1,390,-3
1,330,-3
1,400,-2
-1,580,3
-1,510,1
-1,2310,2
1,2610,-1
-1,1880,1
1,890,-3
1,340,0
-1,530,1
-1,1740,1
-1,790,2
-1,440,3
-1,580,3
1,490,-2
1,6640,-1
1,650,-3
1,540,-3
1,1330,-3
1,710,-2
-1,2250,-1
-1,500,3
1,1030,-1
1,500,-1
1,1870,-2
-1,1480,-1
1,1300,-2
1,570,-1
-1,320,3
1,970,-3
-1,860,2
-1,1090,2
-1,640,3
-1,580,3
1,3430,-1
-1,860,-1
1,1020,-1
-1,310,3
1,550,-2
1,1420,-1
1,360,-2
-1,1770,3
-1,3440,0
-1,690,1
1,800,-2
1,410,-3
-1,1360,1
-1,850,3
1,1650,-3
-1,1640,1
1,1980,-2
1,410,-2
1,370,-1
-1,540,1
-1,2940,1
-1,710,2
-1,730,2
-1,650,3
-1,780,3
-1,1190,2
1,1060,-3
-1,490,2
1,2190,-1
-1,2910,0
1,1010,-2
1,2170,0
-1,810,2
1,400,-3
1,810,-1
1,390,-3
-1,570,1
1,440,-1
-1,430,3
1,1160,-2
-1,710,2
1,930,-2
1,990,-2
1,910,-2
-1,2330,2
1,760,-2
1,1170,-1
-1,240,2
-1,1530,2
-1,750,2
1,2080,-2
-1,400,2
-1,400,3
-1,1620,1
1,1400,0
1,1430,-2
-1,730,0
1,1040,0
1,3330,-1
-1,2490,2
1,790,-1
-1,530,2
1,1200,0
-1,290,3
-1,2120,2
1,2820,0
1,1370,-2
1,2450,-1
1,1620,1
-1,1000,3
-1,940,1
-1,980,2
1,740,0
-1,1010,1
-1,870,1
-1,700,3
-1,1270,1
1,680,-2
-1,3980,2
1,960,-2
1,620,-3
-1,640,2
1,780,-1
-1,460,3
-1,460,3
1,2250,0
-1,550,3
-1,980,3
-1,2560,0
1,2230,-2
1,8820,-1
-1,970,1
-1,1250,2
1,640,-3
-1,3350,0
1,870,-1
1,900,1
-1,840,0
1,2220,0
1,770,-3
1,980,-3
-1,3880,1
-1,530,2
1,330,-3
1,1650,-1
1,430,-3
-1,2190,2
1,1180,-3
1,970,-3
-1,290,3
-1,1310,2
-1,1820,1
1,340,-3
-1,2680,2
-1,1110,3
1,780,-3
-1,570,1
-1,230,0
-1,620,1
-1,1030,0
1,310,-1
1,630,-2
1,3150,-1
-1,3330,2
-1,350,2
1,2660,-2
-1,570,1
-1,3580,1
-1,770,3
1,700,-3
-1,580,2
1,580,-2
1,1440,0
-1,1900,0
-1,2560,1
1,340,-3
-1,370,0
-1,900,3
-1,1040,3
1,780,-3
1,1150,-2
1,1970,-1
1,2280,-1
-1,3590,0
1,1170,-2
-1,340,2
-1,890,0
1,830,-2
-1,1150,1
1,1110,-1
-1,310,3
-1,740,3
-1,1830,3
-1,770,2
1,2740,-1
-1,790,-2
-1,430,1
-1,650,2
-1,390,3
-1,400,3
1,390,-3
1,840,-3
-1,1410,2
1,1270,-2
1,2010,-1
-1,710,3
1,1020,-2
-1,330,3
1,1220,-2
1,860,-2
-1,740,1
-1,230,1
1,790,-3
1,2570,-1
1,1900,1
-1,3300,1
1,1000,-1
1,450,-3
-1,1520,2
1,410,-3
1,3390,-1
1,350,-2
1,1130,-3
-1,780,2
-1,1540,-1
-1,1140,3
-1,790,3
-1,440,2
-1,580,0
1,3190,-1
-1,640,2
1,1410,-2
1,550,0
1,900,-2
1,1700,-2
1,950,-1
-1,2140,2
1,700,-3
-1,170,3
1,1240,-2
-1,1130,2
1,2010,-2
1,330,-2
-1,1580,1
1,730,-2
-1,690,3
1,190,-2
-1,650,3
-1,580,2
1,1220,-2
1,610,-3
-1,1030,2
-1,470,3
1,1900,-1
