choice,RT,p
1,4210,0.000274808
1,490,0.00488373
-1,520,0.00982608
1,1300,0.00180948
-1,510,0.00501595
1,330,0.00653746
1,1360,0.0017482
-1,960,0.00480632
-1,790,0.00819572
-1,440,0.00919268
-1,890,0.0064382
1,1480,0.00162912
1,1160,0.00293239
-1,350,0.0134179
-1,1740,0.00176884
-1,1600,0.00283884
1,1320,0.00362207
1,1040,0.00572581
-1,2360,0.00144118
1,1440,0.00166821
1,1240,5.94736e-05
1,1740,0.00176883
1,590,0.0131969
-1,2740,0.00102546
-1,890,0.0050244
-1,770,0.00839601
-1,740,0.0095659
1,2930,0.000669435
-1,450,0.00932358
1,300,0.0108155
1,1520,0.00304595
-1,820,0.00224125
-1,270,0.00420373
-1,4340,2.93224e-05
1,4830,0.000157696
-1,2240,0.000747359
1,1760,0.00246347
1,2110,0.00180255
1,800,0.00809446
-1,550,0.00208095
1,2910,0.000880614
1,1110,0.00512188
-1,1930,0.00211713
1,420,0.0150834
1,530,0.0144206
1,1890,0.00127041
1,880,0.00505374
-1,1160,0.00293239
-1,560,0.00525552
-1,1240,0.0041387
-1,1930,0.00123961
1,800,0.00809446
1,2560,0.00120486
1,1030,0.00457471
-1,1830,0.00231464
1,3350,0.000593757
-1,990,0.0047081
1,890,0.00717349
1,250,0.00716357
-1,2660,0.00110164
-1,310,0.00581179
1,530,0.0144206
-1,220,0.00477915
1,1200,0.00442214
-1,580,0.00531939
-1,620,0.00963684
-1,420,0.00422713
1,370,0.0141169
1,190,0.00262194
-1,350,0.0134179
1,1620,0.00217344
-1,780,0.0082963
1,1050,0.0040668
1,3310,0.000615418
1,480,0.0096219
1,500,0.00194867
-1,630,0.00957908
-1,500,0.0148682
-1,730,0.0098024
1,420,0.0150834
-1,1100,0.00520499
-1,1360,0.00350029
-1,600,0.00973532
1,560,0.00985027
1,3570,0.000487549
1,1310,0.0017992
-1,670,0.0093011
1,950,0.00657331
-1,210,0.000722688
-1,2350,0.00145414
1,300,0.0054261
-1,350,0.000103462
-1,490,0.000585573
1,450,0.0017652
1,660,0.00543129
1,1160,0.00293239
1,940,0.00559321
-1,1970,0.00120953
1,640,0.00951623
1,710,0.00896567
1,400,0.014821
-1,2970,0.000212039
1,1380,0.00327207
1,480,0.0150757
-1,890,0.00717349
-1,690,0.010771
-1,910,0.00608823
-1,470,0.00953747
1,890,0.0064382
-1,350,0.0134179
1,290,0.00502776
1,1000,0.00470687
-1,610,0.00218396
-1,1700,0.00189468
1,670,0.00543197
1,1530,0.00253531
-1,170,0.00148777
-1,540,0.0142421
1,390,0.0146298
-1,6400,3.86385e-05
-1,1000,0.00609333
-1,770,0.00532506
-1,800,0.00809445
-1,1350,0.00344215
1,1930,0.000276794
1,450,0.00932359
1,300,0.0108155
1,1230,0.00390691
-1,2160,0.00085795
-1,370,0.0077722
-1,930,0.0049021
-1,1100,0.00520499
1,2950,0.000219484
-1,2210,0.00164828
1,1050,0.00450739
-1,220,0.00215994
1,560,0.00985027
1,1600,0.00224921
-1,370,0.0077722
-1,360,0.0033987
-1,2100,0.00181874
-1,710,0.00541157
1,780,0.00225475
-1,440,0.00919268
-1,920,0.00687068
