choice,RT,p
1,820,0.014916612919654746
1,1690,0.0035379067575796695
-1,1930,0.0033091144485101662
1,730,0.0008856015505053084
1,1240,0.00392528717814859
-1,570,0.011418795512924377
-1,360,0.006280097222845076
1,530,0.008808507189124988
1,1040,0.006004132703309555
-1,2960,0.001543495094373511
-1,1570,0.0024087709935146566
1,510,0.00969242109661171
1,530,0.0012413571355354982
-1,820,0.0065230791446088164
-1,2590,0.0005716985389089053
-1,430,0.00314756003354766
1,3100,0.0012630154143820978
1,1380,0.004032544488482118
1,400,0.005175868988792504
-1,930,0.0059415820213614915
1,1870,0.0005281197408608759
-1,1070,0.0071508495250553455
-1,720,0.003292472946436433
-1,460,0.004303297883603246
-1,1440,0.003717507543527931
1,620,0.0013110472838832015
1,2650,0.00020373955612409202
-1,380,0.0040409103711157544
-1,1160,0.008224585103220418
1,1660,0.005174016954287691
-1,620,0.006235406753078715
1,1300,0.001816319128904973
1,510,0.01029203562493778
-1,490,0.00998706804981462
1,670,0.016794743719499086
1,1030,0.00739435879161838
-1,4900,0.0001587083560586261
-1,2340,0.0012768158706388134
1,530,0.012383809536936019
1,1170,0.0077931187992602916
-1,1320,0.006405154487456528
1,770,0.0008682339966158231
-1,1390,0.005551387171224769
1,3180,3.275393396199797e-05
1,5280,6.656612504879159e-05
1,1400,0.00151321795109037
1,2120,0.0017028823338299482
1,840,0.005449325292573572
-1,880,0.0045249780203964534
-1,2130,0.0014913404994731266
-1,1570,0.0046595590840089
1,1760,0.003042441903889273
-1,540,0.011162343897745784
-1,750,0.0069399941384153604
1,480,0.0013683392445834456
1,1100,0.0035351111956848065
-1,2740,0.0009915834501567087
1,1600,0.0009009656223950231
-1,720,0.009273226007097202
1,660,0.006283779793256815
1,1770,0.002055493166458815
1,2620,0.00019431402556605254
-1,1660,0.004770808083129873
-1,1470,0.0050266786838226675
-1,1840,0.00451528618129877
-1,700,0.008437680613536702
-1,4380,0.0005634594661765358
-1,1450,0.00548535350896301
-1,1630,0.0035510967181478243
1,960,0.009429680049090377
-1,3510,0.00040061201529086596
-1,1530,0.005314267250372526
-1,1000,0.006890089645525201
1,1250,0.011332263858661557
-1,5020,5.599677299755761e-05
1,620,0.005209637770082034
1,1010,0.003978354030587344
1,2230,0.0011026495209854128
-1,5360,2.079747565036968e-05
1,2230,0.002399917722369794
1,360,0.006409920566861297
1,3690,0.00014309865232599252
-1,1100,0.0038029002972028983
1,5150,0.00013500707429851697
1,540,0.015788667083980013
-1,690,0.005367524579135428
-1,2270,0.0027722146203343506
1,450,0.012144133635014953
-1,970,0.005753940736743028
-1,2520,0.0011434033365731616
1,1450,0.0017681722834202046
-1,1060,0.004280345106364482
-1,1380,0.004041587294476791
-1,900,0.002153567840395712
1,910,0.002270863015609598
1,1430,0.0014367576464154193
1,580,0.004280674380158469
1,2140,0.0035454597639817745
-1,2460,0.0009181735912870487
-1,1710,0.002289825609875062
1,1980,0.0026904505179963082
1,1450,0.0004966025421971427
1,2600,0.001384026323477453
1,4580,0.00017717803615700426
-1,2070,0.0017262042699861197
1,2560,0.0013971770318982047
1,1180,0.002993253022774477
-1,480,0.003198221371724288
-1,1740,0.00327714905530736
-1,420,0.008937398600588448
-1,2260,0.001193147594918384
-1,510,0.0026031138084587208
-1,880,0.006411707079173926
1,590,0.012586604768708041
-1,430,0.0035331085012039886
1,970,0.004266789490022727
-1,2450,0.0008508890358428011
-1,2050,0.0015027227956715544
-1,2220,0.0017668421617300432
-1,610,0.0113559537410424
1,1220,0.0035502119257694326
1,1470,0.003405966978477114
-1,850,0.009167800567904888
-1,360,0.0033831635852153625
-1,2820,0.0018555573670773072
1,2480,0.003536058494183923
1,700,0.003975629301520534
1,1260,0.00396167884886189
1,2340,0.0013935949001718981
-1,2300,0.001582408941193285
-1,4240,0.00045779016344964614
-1,1790,0.0030659516066979878
1,1290,0.0017690809610938132
-1,1380,0.000555587935195866
-1,1740,0.0031393624337640114
1,370,0.0031633501994046374
