choice,RT,p
1,420,0.0005068993567487681
1,1390,0.003217162283967465
1,430,0.004340787450347536
-1,400,0.00849409103538436
-1,2100,0.0011166204542781256
1,890,0.007173492659776202
1,540,0.009857994720500472
-1,770,0.008396016481975082
-1,1220,0.0018921800408857167
1,400,0.008494091035384387
1,180,0.0008658983472259605
-1,540,0.014242127224770898
-1,640,0.012004156697279783
1,210,0.004016717225007694
-1,1570,0.002914952757598626
1,1300,0.0037441410389354264
-1,790,0.008195724991367928
1,1970,0.0011905134477224414
-1,1540,0.0029929236069692637
-1,700,0.01052608632184039
-1,520,0.009826084005657416
-1,1250,0.0018610930824432886
-1,1190,0.0026795525122252357
-1,1110,0.0020052995693038813
-1,340,0.012995514445970273
-1,980,0.002129989022638099
-1,1770,0.0002927075669810319
-1,1180,0.0040707481858010455
1,170,0.0014877694985748272
1,740,0.00956590448355808
1,1710,0.0018624094806011001
-1,940,0.004870502223281944
-1,1840,0.002294108697876326
1,680,0.011017108683300917
1,1680,0.0014442711124338131
-1,2010,0.0019711278437902933
1,2540,0.00044536244641478153
-1,420,0.004227129226680945
-1,840,0.007384060315853405
1,4430,0.0002653934241905362
1,480,0.004808955690092632
-1,880,0.007275350249773568
-1,1490,0.0031270575669541723
1,580,0.0006377648237386445
-1,450,0.015211308892117956
1,350,0.0032369281175066295
1,810,0.007999820003262914
-1,220,0.004779152103150382
-1,2670,0.00109181526273045
1,220,0.004779152103150379
-1,1850,0.0014638766061591234
1,200,6.972713524585e-05
-1,1150,0.004800178081407493
1,2660,0.000790725904856784
1,5810,0.00011329611957946777
-1,620,0.005401175679958275
1,870,0.005082486362291695
1,820,0.007790627377928337
1,650,0.002225374079318953
1,530,0.014420614826853155
-1,1080,0.003722221435178982
-1,3280,0.0005394508936436824
1,1230,0.003906903812916325
-1,1240,0.001871451288129504
1,530,0.009847317463475702
-1,1050,0.0020648517070664973
1,2220,0.0016335985209103242
1,520,0.014585557704815687
1,1650,0.002064464446375716
1,1130,0.004958882630921253
-1,1590,0.001525171868789911
-1,620,0.009636849010179778
-1,810,0.007992639410413638
1,690,0.009139245660606232
1,1840,0.002294108697876332
-1,890,0.005024401950203666
-1,2540,0.0004453624464147893
-1,4190,0.00027977616455897173
-1,440,0.009192683157739892
1,560,0.002102003874390266
-1,1040,0.0041880628012778255
-1,1340,0.0035607850844135026
1,1770,0.0013672121433173853
1,1390,0.003411056382500632
1,540,0.014242127224770897
1,530,0.014420614826853155
-1,410,0.014971489577988311
-1,920,0.004933336849606293
1,9060,1.52617143474338e-05
-1,1240,0.0038745726258201984
-1,1690,0.001927493254934247
-1,930,0.006770876488486543
1,950,0.0021557251488837576
1,500,0.009749240648663327
-1,300,0.010815489643977104
-1,320,0.012002259852462924
1,1010,0.00599999649966182
-1,340,0.012995514445970273
1,760,0.008494701418453137
-1,940,0.004870502223281944
-1,3540,0.0005008303878025045
1,250,0.007163561320718089
1,980,0.006282745201010695
1,1180,0.004070748185801058
1,1650,0.0027160909849492146
-1,1150,0.004800178081407493
-1,880,0.0006058610424024615
-1,1950,0.0002602145162234634
1,1140,0.004878993236991184
-1,1250,0.0040704245637021
1,1240,0.003874572625820208
1,680,0.009221793930497957
1,1300,0.0036841097440656946
1,510,0.005015952131833829
-1,1550,0.0029667250920472153
-1,1460,0.0016485790037253521
1,280,0.009452892670834316
1,1620,0.0027891354178582258
-1,1070,0.004439884576345746
1,1380,0.003272066966883494
1,860,0.006993542055297203
1,470,0.015146443391358542
-1,1340,0.0035607850844135026
1,430,0.009044896093423934
1,610,0.005386006900221565
1,900,0.002194490662134245
1,1200,0.0044221430304321
-1,780,0.008650154201128706
-1,1920,0.0012976265292231734
-1,700,0.005419876902529333
1,980,0.006282745201010695
-1,520,0.009826084005657416
1,600,0.009735322423914554
1,660,0.0054312833642332775
1,760,0.0006405920955198039
