choice,RT,valDiff
-1,1200,1
-1,800,1
1,3120,0
1,2600,0
-1,1320,2
-1,3200,1
-1,1370,1
1,3450,-1
-1,2100,0
1,1390,-1
1,960,-2
1,1360,-1
-1,2300,-1
1,1280,-3
1,2400,-2
1,760,-3
-1,530,3
1,3370,-2
1,940,-3
1,5450,-2
1,670,-2
1,3140,-1
1,1260,-1
-1,970,3
-1,1090,3
-1,980,3
-1,1930,3
1,600,-1
-1,2800,3
-1,2600,3
-1,1250,2
1,2590,1
1,500,-1
-1,660,2
-1,410,0
-1,1530,2
-1,1060,0
1,490,-2
-1,930,-2
1,880,-3
-1,1030,1
-1,3390,1
-1,1310,-3
-1,3010,2
1,390,2
-1,1420,2
-1,1380,1
-1,2630,0
1,3650,-3
-1,840,1
1,1050,-1
-1,1500,0
1,810,-1
1,690,-2
1,3070,-1
1,760,-3
-1,910,1
-1,1230,3
-1,1610,2
-1,1320,-3
-1,530,2
-1,1210,1
-1,700,2
1,640,-2
-1,2000,-1
1,610,-2
-1,650,1
-1,3190,1
1,570,-3
-1,1370,-2
1,1260,-1
1,540,0
1,1250,-1
1,2600,1
-1,910,2
1,3360,-2
-1,1400,-1
1,1380,-1
1,5170,0
1,2310,-2
-1,650,2
-1,780,3
-1,2580,2
1,780,-2
-1,3800,2
-1,1230,-3
1,880,0
-1,860,2
1,1120,-2
1,2050,0
1,330,-3
-1,1600,-1
1,590,-3
-1,940,3
1,370,-3
1,460,-1
-1,1270,2
-1,2280,0
-1,3180,1
1,1240,0
-1,620,0
1,2320,-1
1,600,-3
-1,830,0
1,1080,0
1,590,0
-1,3700,1
-1,3700,1
1,1300,0
1,980,-2
1,860,-2
-1,3990,3
-1,1370,2
1,4380,-1
-1,390,-2
-1,330,0
1,560,-3
-1,1010,0
1,610,-2
-1,2410,1
1,1190,-1
1,760,-2
-1,880,3
-1,3430,2
-1,1590,3
1,930,0
1,3380,-3
-1,5400,0
-1,350,2
-1,2020,0
1,1040,-2
1,1490,-1
-1,1290,3
1,1900,-1
1,4180,-2
-1,720,3
1,300,-1
1,340,-1
-1,1260,1
-1,1880,3
1,410,-1
1,2450,1
1,250,3
1,600,-2
1,4320,0
1,460,0
-1,4040,0
-1,1860,3
1,780,-1
1,740,-3
1,1170,-3
1,2040,1
-1,3670,1
-1,1270,0
1,1180,-1
1,2650,-2
1,590,-2
1,790,-2
1,1030,-2
-1,1030,3
1,810,-3
-1,720,0
-1,3600,2
-1,1130,3
1,290,-2
1,410,-3
1,1340,1
1,980,-3
1,1090,0
-1,1230,2
1,690,-1
1,4130,-1
-1,350,-1
1,460,-1
-1,390,3
1,740,-1
-1,1100,3
1,2380,-3
-1,3720,1
-1,5100,0
1,780,-1
1,3250,-3
-1,580,-2
1,870,-3
-1,3380,0
-1,1090,3
1,1400,-1
-1,1700,2
1,1970,-3
1,3390,-3
1,360,-3
1,440,1
-1,2860,1
1,3330,1
-1,1200,2
1,1030,0
1,4330,-2
1,620,-3
-1,1050,0
-1,770,2
-1,3030,0
1,960,-2
1,720,-3
1,920,-3
1,1420,-2
-1,2340,0
1,1250,0
-1,2710,1
-1,1920,3
1,4380,-2
1,480,-2
-1,1890,1
-1,2110,1
1,1660,-3
1,600,-3
1,600,-2
1,720,-2
1,1910,-2
1,250,-2
1,550,-3
-1,690,3
1,6570,0
-1,620,2
-1,1140,1
-1,2230,1
1,750,-1
-1,970,1
-1,890,2
